Listed No.,Series No.,Chinese Name,English Name,Chemical Formula,CAS. Number,"control
concentration
standard
w/w %","graded han-
dling quantity
(公斤)","Toxicity
Classify","公告
日期"
001,01,多氯聯苯,"Polychlorinated
biphenyls","C₁₂H₁₀₋ₓClₓ
(1≤x≤10)",1336-36-3 等,0.1,50 註6,"1,2","77.06.22
88.07.19
88.12.24
89.10.25
89.12.20"
002,01,可氯丹,Chlordane,C₁₀H₆Cl₈,57-74-9,1,50 註6,"1,3","77.06.24
88.07.19
88.12.24
89.10.25"
003,01,石綿,Asbestos,"5.5FeO, 1.5MgO,8SiO₂,
H₂O",1332-21-4,1 註7,500,2,"78.05.01
80.02.27
85.10.17
86.02.26
87.07.07
87.12.01
88.07.19
88.12.24
89.10.25
94.12.30
98.07.31
101.02.02
102.01.24
106.05.10"
004,01,地特靈,Dieldrin,C₁₂H₈Cl₆O,60-57-1,1,50 註6,"1,3","78.05.02
88.07.19
88.12.24
89.10.25"
